C1,C2,C3,C4,C5
R19OBFHYH9J1WE,Easy install. Valve in the handheld (the button) leaks by when not button is not pressed. Minor annoyance but it’s a cheap Amazon shower head.,3,2025-01-14,United States
R1L3EPRSC9QVI6,"I ordered Veken high-pressure rain showers last week, but I'm having an issue with the wall bracket, which failed the next day.",3,2025-01-28,United States
R1UR16QRIPC9TH,The pressure in the shower head isn't great but the pressure from the handheld is pretty good.,3,2025-02-12,United States
R2LAS31T99QN9T,"This seems like a well-built shower head. However, the controls to turn off the handheld or the main shower head aren't adequate",3,2025-01-22,United States
R1QRS5YQPCW11,Very poor streem on the big head. NOT recommended. The hand nozzel work good.,3,2025-02-10,United States
R1X46IXJQUMNA2,I was super excited to try this but was left disappointed. The rainfall head does not have enough pressure and I'm left feeling cold in the shower. I really like the handheld attachment and it's various modes but we unfortunately installed it too low before realizing we wouldn't like the main head. The heads are made of plastic and seem like they will hold up but could break easily too. Install was easy.,3,2024-12-19,United States
R3IHR623U56DX7,Misleading not good pressure,3,2025-02-12,United States
R2HPBBQBTRYR1Q,"Head work as a shower should be .
But bad Design for holder the small head. Stick to the wall ?? Naaaa that didn't work . Had to construct glue to the tile . Product needs redesigned . Can't believe that was the choice design . Whaoooo.",3,2024-12-19,United States
R2EJWO5ZDPEI9L,"I purchased this product looking for a more spa like shower experience with a relaxing rain shower; however, I didn’t really get rain. What I got was a drizzle. There’s hardly any water pressure in the rain water shower head which is a big bummer. The hand held option has more water pressure and is a better option, but doesn’t offer that spa like experience. I felt like I was being beat to death by water. I am rating this with two stars because it was easy to install.",2,2025-03-31,United States
R3FVUEOX6O73XT,"The showerhead and extension functionality are great, but the extension holder gets pulled off my shower wall by the extension after an hour or so. I tried multiple times but I don't see how to remedy this.",3,2024-12-19,United States
R2M4XS8LBCJ5L4,"This would probably work fine, but the problem is that the place to switch from shower to handheld is at the top of the pipe. I would have to get a stool to reach, and that’s not convenient.",3,2025-01-01,United States
R2VQN83SUJIKOZ,"As others have said, the water pressure is not that great. I had great water pressure before, but with this it is not so strong. It is good enough. I've notice that some of the holes work, then don't work, then work again. I recently fell and fractured some bones, so I cannot take it off to research what is wrong. I would not buy this again, but the price is low. If it lasts 6-12 months I'll figure I got my money's worth. I do like that you can have both heads spraying, not strong, or one spray which is obviously stronger. Next time, I'll purchase a name brand.",3,2024-09-28,United States
R3UE6WIJZVBWXJ,Works fine. Easy to install. The wand doesn't have as good of water pressure as the one I had before. It's also plastic.,3,2024-12-22,United States
R39DLDROSCO8BZ,"Doesn’t really hold enough pressure to use both simultaneously that well. Additionally, the most function doesn’t work. It’s a great showerhead overall though.",3,2024-12-26,United States
RO9C2SLSWYHR1,Water pressure is ok. Wand has more pressure then the head. Dont think id buy it again,3,2025-01-05,United States
R1V47WEC7ZR7DA,i dislike how the rainfall (the bigger shower head) doesn't have any other flow setting.,3,2025-01-06,United States
R1GJMIU4LV2FFU,"I actually really liked the look, quality and the ease of installation. I have VERY high water pressure so I was really excited about this product. I think it’s just how large the diameter is but it just trickles out with next to no pressure. The handheld sprayer had OK pressure but not nearly as much as the basic 2-3” head I had on there previously. I will look for something smaller in diameter next.",3,2024-10-21,United States
RD5KDBVAZ7GNR,"Absolutely love the water pressure, quality of shower heads and hose, was super easy to assemble with very clear directions! Only down fall is the adhesive on the handheld shower wall mount is unreliable. Cleaned the shower wall, dried it with a fresh towel and the mount fell off after 2 showers within 12 hours. The weight bent the handheld wall mount as it fell and now between the lack of adhesive and bent thin material, it can no longer adhere to our shower wall let alone hold the handheld shower head. I’m so bummed because I love this shower head! Will hope I can find a replacement handheld mount at Home Depot. This adhesive reminds of a slightly stickier version of a standard peel and stick sticker. The shower head itself is a dream & well worth the cost! The handheld mount in my opinion, from this experience, would benefit from a little upgrade. Otherwise I enjoy the luxury feeling this shower head provides!",3,2024-04-06,United States
RPTVQLKLKIE34,It works that's it,3,2024-12-31,United States
R2RHO2X7GG2IWP,The part that holds the extra shower handle fell off after one day of use. We made sure to clean the shower and wait for it to be dry. And we also waited 24 hrs before using this shower to ensure the adhesive sticks. We just wanted to adjust the shower head and when we moved it downwards the entire thing came off and now it won't even stick anymore. So disappointing. The pic is how my moms shower looks until we can figure something else out.,2,2025-02-16,United States
R26XOJ2JLXENWC,"Installed easily, looks sharp, high pressure with the lightweight, aluminum feeling detachable showerhead. but 4 months later the larger shower head weakened in pressure and seemed clogged. Ended up taking it down and going back to my original shower head. That worked fine.",2,2025-03-28,United States
R2YF6TFWTEY72J,"Bought this shower head after our other one broke. Seemed good. I've noticed that this one will drip from the shower head and the extension arm for such a long time after a shower. Our previous one did not drip and it's incredibly annoying. Wish the shower head itself was more square, the pressure off the arm isn't the greatest. Should have researched more before buying, unfortunately when you're in a bind, you buy the best for your budget at the time and pay for it later.",3,2024-08-15,United States
R1Z5BTLS4HL4VN,I was really excited about this shower head but I was disappointed. The water only came out of half the shower head and even then its just barley coming out it's not high pressured at all. Nothing is clogged either. Also the part that sticks on the wall to hold the other smaller shower head doesn't come off which is a good thing but sucks when you are moving and can't take that with to hold your shower head in place.,3,2024-09-04,United States
R2OISYR3IYXKJ1,Shower heads are great but thr adhesive portion to hold hand held sprayer is terrible. It doesn't stick. This makes using this item veey difficult. That's the only flaw which is major for me.,2,2025-03-24,United States
R1T224F3PXL3EB,I bought it because it said high pressured. That’s simply not true.,3,2024-12-04,United States
RIOAMKRXED5J0,Worked awesome for first three months. But then the knob that is used to adjust the angle fell off and can’t be reinstalled because threads pulled through. Which is weird because the only time it was adjusted was during the initial after installation leak check to get the desired angle in the shower. A message has been sent to seller so will see how it goes.,2,2025-02-23,United States
RG8JAM3VZDO28,"Hubby purchased this for his shower. 2 down sides. 1 the part that came preassembled was put together backwards. 2 you can use the shower head alone but you can not use the hand held alone. high end ones have 3 settings: shower head, hand held, or both together. this one is NOT high end. it only allows shower head always on and hand held on or off. So when you want the hand held to rinse your under carriage you still have water coming down on your head even if you don't want it so your conditioner can set for a few minutes while you wash and rinse your body.",2,2025-01-12,United States
R3MWNDEUSBI0MP,If you’re looking for a high pressure shower head this isn’t the one. Definitely not anti-clog either. Ive had it for about 2 months and the little holes the water sprays from are all starting to clog or spray the other way. The design and durability is very good though. Really liked it but the very low water pressure was a big nope for me.,3,2024-10-21,United States
REGQ6FQVKFDLB,"I was hoping the rainfall shower head would feel like rainfall, but the waterforce is so soft, and I don’t appreciate it. I thought something might be wrong on my water line, but the handheld head works perfect and has much better and stronger water flow. Also the installation is not as simple as they claim it to be🤷‍♀️",3,2024-09-17,United States
R1EB0ZMHEP03JS,"Nice concept, nice look. But like everyone else is saying about the pressure it puts out, not much at all. And the fact that when you turn your shower off, it still trickles on you, It doesn't shut right off. I found that really annoying. Looks nice, works, kinda.......",3,2024-10-23,United States
R3J3JWJVVY0FKR,No Content,3,2024-10-08,United States
R1LBE3GN04T97I,"The large one is really nice, and looks elegant in my tub. The hand held piece on the other hand it a bit cheap, and the mist setting is hardly a mist, it's more like clunky jets spraying at you. If you're looking for fine mist, this isn't it.",3,2024-10-14,United States
R15C2NMU4BCQ2Z,it is easy to install but water pressure is weak,3,2024-12-02,United States
RMTKIC570PXI7,It’s nice and it’s pretty but it’s very low pressure in my opinion. Takes forever to get soap out of my hair. I’ll have to buy another one.,2,2025-04-03,United States
R3O3JG86H5HAME,I loved how big this rain shower head is. I loved how the water was falling everywhere and I was covered in warm and that the extra head was handy for spraying the walls and dogs. What I don't like is how quickly this clogged and stopped spraying. I have tried everything to unclog the spray nozzles but they basically only spray from the middle at this point. It makes me super sad because I have wanted the rainwater type of head for a really long time and it's just not feasible with this head.,2,2025-01-07,United States
R36SEVRYNO8ASF,I expected the same or better water pressure from the large shower head but am disappointed to say it's more like sprinkling rain. The smaller wand does have a few settings with enough pressure to get the shampoo/conditioner out of my hair but I wanted more from the large shower head.,2,2025-03-11,United States
RVCIFFZOKNVO9,"Overall great shower spray would love it , but thr handle holder is made to stick to the wall- it fell after 3 weeks…. So now it looks awful with cord just hanging… would not buy again",3,2024-10-29,United States
RV9USXQRZW3G5,"Maybe it’s my fault for not reading better but I didn’t realize that the entire thing is made of plastic. A little annoyed I paid $60 for a plastic shower head, if I had realized that I wouldn’t have bought it.

It seems to be working fine so far, the pressure is nice and the wand settings are good. I’m a little concerned about the longevity.",3,2024-08-14,United States
R31IC73VBZOY31,"This is second time buying this product, for some reason it didn't satisfy my need. Within a week handle is dipping! Need to return!!",2,2025-04-09,United States
R2OJ76TIJ3VD6Y,"The outer covering of the hand held shower metal covering broke off the shower head just after 2 months. This left the nylon tube inside exposed and when I tried to see if it would work, the nylon tube burst in the shower. Very disappointing. I had to attached the old hand held shower (fittings are standard) which I have had for over 5 years. I changed it out because my wife wanted a rain shower head. I won't purchase this again from this company.",3,2024-06-29,United States
RGQSDY2NIDBEE,Then constantly clogs up and water goes in all sorts of directions. Hard to clean it,3,2024-11-07,United States
RJU6UG7LZ1Q34,"bought this on prime day after reading reviews and hoped for the best.

knob turn to small head - head has great pressure.

knob turned to large head - severely lacks pressure and is a soft rain.

know in the middle for both heads - very low pressure out of both heads.

you'll want to run either or, not both. I have 52psi water pressure for reference.",3,2024-07-26,United States
R1LAM5L5CHVS5G,The hand held works well. Good pressure. The rain shower head is trash. Leaks at the connection. The middle part shoots down at a slant instead of straight down. Didnt bother me at the beginning but now half of pores are now doing it. Would not recommend unless you are trying to go cheap and dont really mind the rain head not working correctly.,3,2024-07-29,United States
RTQCAKJGJ04W3,"Purchased Aug 2024.

Easy to install. No problems there.

Ran great for a while, was a great upgrade from the previous setup.

Then, a few weeks back, it started to leak from the main shower head while the faucet runs to fill the tub.

I often switch it to the handheld just to avoid cold water dropping on my children when they sit in the tub as it fills. (It drips for about 5-10 minutes after the faucet is turned off.)

So.... for $50... I could have absolutely found a better option.

Very bummed because I really liked it.",2,2024-12-09,United States
R2I79HIY60DXCO,"First thing shipping was delayed (not happy as I pay for Amazon Prime), the photo makes the shower head look square but its a rectangle shape (not a real problem). The product is of good quality and easy to assemble.",3,2024-08-02,United States
R37BB3BK439RWA,"I wish the rainfall shower part had more pressure, right now its like a gentle drizzle. The wall bracket didnt stick well and I cannot figure out where to buy another without buying a whole new showerhead. The wall bracket did have a tolt function that was nice. This was VERY easy to install.",3,2024-07-02,United States
R2C5L06S2DPMA8,"We got the shower head and installed it already but after it was installed we noticed that it is missing the part that is needed to hold up the handheld wand. The shower head works great and so does the handheld wand but currently it is sitting on the floor of the shower. I am trying to reach out to the seller to see how I can get that part that holds the wand to the wall. We are happy with the product and even purchased a second one, not here yet, for our spare bathroom. I don't want to take it off just to return it and hope the new one comes with all of the needed pieces. I hope the seller sees this review.",3,2024-01-11,United States
RXZ8VWQ1YHKTV,"This is one of the worst shower head combos I have ever bought.

First the photos are deceptive. I thought the main shower head would be bigger. It is much skinnier than I wanted.

The handheld wand is the worst part. The plastic piece that is supposed to hold the wand is completely wrong it doesn’t hold it up well. It’s like it is not made for this set.

I tried reaching out to the seller about this but the Amazon AI chat assistant won’t let me. It only gave me the option to return it, but the return window has passed.

As a result of the poor attachment piece the shower wand keeps falling off the wall at the slightest touch and is scuffing up my shower pan pretty badly.

I do not recommend.",2,2024-08-18,United States
R2QB9V6QX1DUW0,"Loved this shower head, but it only lasted 8 months. The shower head fell randomly in the middle of the night. Lookes like it was too heavy and the connector piece broke 🙃",3,2024-08-31,United States
R2BXOAOHX7WCAX,Shower head is extremely heavy so i was only able to use the wand! You need a long heavy duty arm to put this showerhead on!,2,2025-03-06,United States
R107AFSJ5JBU3V,The holder for the handheld slowly slips and the adhesive is not good. Overall it looks stylish but I wish the material for the holder worked better.,3,2024-09-07,United States
R3OMD2S938B78Z,"The flow is really weak in the top shower head, so weak that some of the spouts just dribble water out and barely forming a stream. I’m disappointed and returning this.

The only saving grace is that the shower wand is alright with good pressure.",2,2025-02-02,United States
R1SEDR2TX2YPR1,"No me agradó ,porque no tenía fuerzas cuando sale el agua,ninguna de las dos piezas bota el agua bien fuerte,mi nieta también opinó lo mismo,te sientes como que no te haz bañado.yo tengo una the waterpik y es bien fuerte el chorro,traté de ordenar una de waterpik pero y que tengo que poner otra dirección y es en vano,porque el problema es los que hacen el delivery si hicieran el trabajo bien no hubiera problema.ya ven el paquete lo pusieron en otro apartamento y tuve que ir donde mi vecina y pedirle el paquete.a mi me gusta que el chorro de agua sea fuerte y con mucha agua",3,2024-02-11,United States
RS0COX2MTB6BE,maybe i am just not smart enough but it says you can 100% self install but i still cant figure it out reading the instructions. I was able to put het old one back i took off easy but this is very complicated.,3,2024-08-24,United States
R1TDZ1FSCJD3XD,This product is not compatible with my shower and it didn’t complete with the pieces so be careful it could be a scam,3,2024-09-30,United States
R3BTVWKAKJHAQV,The wall bracket doesn’t hold the shower on the hose head may be you. Can send another one,3,2024-09-13,United States
RFHZ6WUZXL1L4,"Partner was really looking forward to this thing. We installed it and wand was defective. Leaked while the rain shower was on even after checking everything was off to it. Then we turned it on, leaked shifting to different features",2,2025-01-31,United States
R3MA8GH7KG3RZI,"Shower heads are great, mount is flimsy and doesn't stick. That ruins the whole product for me.",2,2025-02-23,United States
R2ZHBJPJ9411BZ,"The hand held shower lead adhesive bracket fell of the shower wall within days of installation. It’s useless. Now the shower wand hangs down without support.
This is an update to my above description about the failure of the adhesive bracket. The company contacted me after my review and sent me a brand new unit with a vertical bar to support the handheld showerhead. The new shower assembly is excellent. They stood behind their product and I appreciate it very much.",2,2024-12-12,United States
R2U76NQC091B7P,"Love this product. Installation was simple and were clear. If you want amazing pressure from both sprayers, this may no be the shower head for you but I really only like using one at a time. If you use one at a time the pressure is great. My one complaint is there is a small leak coming form the rain head but it’s minimal.",3,2024-04-25,United States
R107XIY1PG8LYT,"I loved this showerhead for the first four months that I used it. Then, the other day, the arm holding up the rain head just collapsed. I tried to tighten the nut holding it up and realized that it was stripped, and there was no way to keep the rain head up any longer.",2,2024-12-06,United States
R34XQCUGPT4GW,At first it was great and worth the money. after 2 months the rod that screws into the shower head lost it's tension and fell down. I have not been able to get it to stay up and had to take it off.,3,2024-06-30,United States
R1S0G67PB0OADK,"Rain shower doesnt have pressure. But the Hand shower seems to have good water pressure. For the price, I think its a decent deal. it was easy to install.",3,2024-08-05,United States
R9VF9M1K2PCWA,"It's a neat design and not a terrible price when on sale, but if you're looking for it to be a hurricane of water flow, this isn't for you. Even with the restrictor removed the water pressure is a let down, but maybe that's just my plumbing.",2,2025-01-05,United States
R3KFGQF03GZIU5,The rain head feels so good. I just wish they had put the handle to switch the head was lower. Only a tall person can reach it.,3,2024-06-24,United States
R1JXGUFIKL65V9,After 4 months a lot of the water ports are no longer shooting out water. I absolutely hate that. Also you cannot run the hose and the main spout at the same time- wish that was possible. Would not order again. Good while it lasted.,2,2025-01-06,United States
R1E0ZBEEKPBQ2V,"Absolutely nothing to like! I am really appalled by this! LOL! Are so horrible and such low quality that they would not even make it in Walmart! They're flat they look like they're molded to your foot on the sides but on the inside it's completely flat! You go to wear them and they flip flops sound is so loud that you would have the attention of anyone in a restaurant or wherever you were asking that's not the worst problem though, I put on the brown ones and walked around the house for about 15 minutes and they ripped! These shoes were these ones like someone that really does not know anything about the actual foot or how to design something that your foot doesn't try to go off to the side every time and fabric is so we can feeble t's going to rip immediately.. going to have your foot go off to the Sun and you're going to be irritated by the sound! This hurts me to have to say this! My parents were in the shoe business for over 35 years in very very expensive ,upscale stores on lost soul is Boulevard in Fort Lauderdale florida! It's not quite as a skills it used to be, but I know it whole lot about shoes and fitting them and quality blah blah blah! I'm just by her hair flip flops and go from there normally but they look fine in their ad and I don't think you're going to get any good reviews on these if they actually sell any because they are a liability to your company LOL LOLlol🤣😅😍 someone in Amazon needs to put these on and try to walk with them and .. Facebook aren't quality enough to be in the 99 store in LA! I'm going to have to return them and I only put one pair on for 15 minutes ..but by the way though, once I haven't warned have suspect Souls is this someone has had them on inside! I hate to give a good bad review because everything I ever ever ordered is usually fine! I did my whole little 1200 square house with you! I brought everything new! I only have a few pieces in my house that I did not buy from you !!! No major problems at all.lol please have someone bring someone a pair of these in quality control!!! BTW I am 5'7 and 150 lbs and 66 years old.lol are you just was wondering how many pairs of flip flops by actually worn in my life! So anyway have a gorgeous day, no worries !",1,2024-07-28,United States
RO7GEMX5GYLSZ,"The flip-flops I bought are soft, comfortable, and fit well, but I’m not happy with the color. I purchased them in black and used them for a couple of weeks. During that time, I noticed discoloration on my feet and initially thought it was a skin issue. However, I later realized that the flip-flops were causing the discoloration. It was quite alarming to see such a drastic change in my skin. I stopped using them immediately, gave my feet a thorough pedicure, and thankfully, my skin returned to normal. After this experience, I won’t be purchasing from this brand again.",1,2024-11-27,United States
R14EMBVBPWJ7W6,Very slippery I am disabled so I am afraid to wear them I would like to return them I need a q r code to my phone,1,2025-04-07,United States
R7WFDZIR0BJQQ,The product has changed they are not as soft and comfortable as they used to be as it used to be walking on a cloud and now its a harder material and not as enjoyable very disappointing!,1,2025-03-14,United States
R2Z62G95L175LI,They are poorly made. They will turn on your foot when walking in them abs it makes it easy to trip while wearing them. Do not recommend these at all.,1,2025-02-16,United States
R359SWN42GPHLI,It says it has arch support but it doesn't. And very loud flipping sound when walking.,1,2025-03-30,United States
RH082IPN1XHKC,Returned instantly. They don’t have any support to stay in your feet. Super loose and cheap.,1,2025-04-09,United States
R3B4UCVY669TTX,Not comfortable at all. Feels more like concrete than a yoga mat. Wouldn't buy again,1,2025-04-07,United States
RBLWJ44AHSRR,"I thought I would give these a try instead of my usual Sanuk flip-flops. There were tons of good reviews so I thought that was a good sign. I ordered the silvery gray in my usual shoe size 8.5 thinking it was great they actually had half sizes available. When I first put them on, they felt really good and seem to fit great with a nice cushioning yoga foot bed. However, within just a couple hours of wearing them, it seem like the straps had actually completely stretched out, and the shoes were basically almost falling off my feet. That is ridiculous and absolutely should not be happening. Obviously I got what I paid for and will spend the extra money for higher quality shoes next time. These I can no longer even wear anywhere except around the house. I wish I could return these but unfortunately I wore them that one time so now I’m stuck with these shoes that will either sit in the closet and never get worn or just get thrown in the trash. Don’t waste your money.",1,2023-06-27,United States
R2Q8VIAL01SPBW,Very uncomfortable wore once and will not wear again,1,2025-04-08,United States
R2GYQ7Q1V6O04T,It's very hard surface. Metrial is very cheap,1,2025-04-07,United States
R16OXPOSGKR7H6,The little knot hurts in between my toes with just trying them on. Scared to even wear them .,1,2025-03-05,United States
R13CUOO9ENLTE3,These look and feel like they cost $13.,1,2025-03-22,United States
R24U1TQK59M3H3,"Very, very cheaply made and fit very loosely!",1,2025-04-08,United States
R3896QIY8P4UQP,I do not like them at all!,1,2025-03-25,United States
R3JRIRI5G931EJ,"Están feas, color desteñido, parecen usadas, la verdad no me gustaron, pues en la foto se ven distintas",1,2025-02-17,United States
R2BLQN1BP7O0GE,These are not comfortable. I wish I had returned these when I still could.,1,2025-02-20,United States
R13TQBJ6MR0MRY,Loud heavy floppy,1,2025-04-15,United States
R2TI5GVQB56EOC,The top is to loose so your feet slide to the front too mich,1,2025-02-21,United States
R3CRXF886TSAN1,Eww terrible quality,1,2025-04-07,United States
ROA2A88CR8AG,Awful snd dangerous,1,2025-04-10,United States
R231ZUKC6HPUYI,Horrible! Don’t bother,1,2025-04-08,United States
RZSO3P0O7OARA,Very hard and uncomfortable. I can’t wear them at all.,1,2025-03-12,United States
RNUQPL5DC1LLA,"When I first put these on, I was so happy to have them. They were very comfortable - for a while. I wear them pretty much all day around the house, and the sole has worn down quickly AND the fabric has stretched. They now flop around so much they're worse than useless. I trip over every little thing, and the footbeds have become slippery, too, so my feet slide as I walk. From comfy to hazardous in only 3 weeks!",1,2024-09-21,United States
